FECHA;HORA;DIRECCION;LATITUD;LONGITUD
2025-10-01;20:05:00;KR 118 135 A 02;4.74141019;-74.10605836
2025-10-08;05:50:00;KR 8 81 10 SUR;4.5092527;-74.10938136
2025-10-08;11:53:00;TV 73 A 82 D 40;4.70297776;-74.08995876
2025-10-08;19:30:00;KR 19 24 02;4.61841614;-74.07828066
2025-10-09;10:00:00;KR 10 24 02;4.610801;-74.07157806
2025-10-20;17:40:00;KR 96 J 22 L 02;4.67623405;-74.13661224
2025-10-18;18:10:00;KR 86 22 F 02;4.66856776;-74.1283497
2025-10-27;12:30:00;CL 11 88 D 51;4.65443164;-74.14905635
2025-10-27;08:01:00;KR 79 42 B SUR 02;4.6192096;-74.16233146
2025-11-11;17:00:00;DG 40 A SUR 1 A 02;4.55220845;-74.09785761
2025-12-16;11:50:00;CL 145 109 A 02;4.74819965;-74.09907704
2025-12-14;17:46:00;CL 22 BIS SUR 3 ESTE 02;4.56890533;-74.08569014
2025-12-12;14:20:00;CL 57 28 02;4.6458402;-74.07570053
2025-12-24;13:40:00;KR 8 ESTE 118 SUR 02;4.48363816;-74.09776716
2025-12-24;15:00:00;AC 24 74 A 45;4.66547279;-74.11923945
2025-12-31;23:20:00;CL 22 109 A 02;4.68231341;-74.14640962
2025-12-31;08:30:00;KR 87 C 69 SUR 02;4.62153076;-74.19419123
2026-01-03;12:00:00;AC 145 106 B 02;4.74741842;-74.09760354
2025-12-31;15:04:00;CL 45 30 02;4.6346757;-74.0795135
2026-01-14;18:10:00;KR 27 35 SUR 02;4.58903158;-74.11871155
2026-01-22;07:15:00;CL 71 SUR 8 02;4.5349896;-74.12757293
2026-01-24;21:30:00;CL 106 9 02;4.68852387;-74.04217435
2026-01-21;20:40:00;CL 80 69 02;4.6870848;-74.08153174
2026-01-21;15:50:00;CL 57 R SUR 72 02;4.59579408;-74.16725587
2026-01-23;09:40:00;KR 50 79 B 02;4.67388919;-74.06915013
2026-01-24;14:05:00;CL 80 75 02;4.69723287;-74.09246255
2026-01-24;14:50:00;KR 113 81 02;4.72217853;-74.11855288
2026-01-15;14:00:00;KR 80 55 21 SUR;4.61449348;-74.17499752
2026-01-30;18:04:00;KR 13 30 02;4.61669635;-74.06907166
2026-01-30;02:20:00;DG 2 80 02;4.63217633;-74.15417248
2025-06-16;19:45:00;KR 5 A 31 SUR 02;4.56541029;-74.098299
2025-06-15;22:30:00;AVENIDA BOYACA 66 SUR 02;4.55223162;-74.13687964
2025-06-16;03:29:00;KR 19 C 56 SUR 02;4.56821194;-74.13495851
2025-06-15;02:40:00;CL 13 17 02;4.60594294;-74.08245973
2025-06-25;15:10:00;CL 92 SUR 14 A 02;4.50596708;-74.11547655
2025-08-09;23:00:00;KR 68 95 02;4.68638296;-74.07610653
2025-08-09;02:00:00;KR 13 F 57 19 SUR;4.56221197;-74.13038842
2025-08-24;02:00:00;CL 59 B SUR CIUDAD DE CALI 02;4.61896433;-74.18639734
2025-08-25;00:52:00;KR 30 25 A 47;4.62538374;-74.08253245
2025-08-22;12:00:00;AVENIDA PRIMERO DE MAYO 6 ESTE 02;4.57063277;-74.08320008
2025-08-24;08:40:00;TV 86 99 98;4.71366359;-74.09343417
2025-08-23;11:42:00;KR 72 25 B 02;4.63939454;-74.13580868
2025-08-21;15:51:00;CL 80 64 02;4.68172032;-74.07751233
2025-08-22;11:31:00;CL 42 B SUR 82 02;4.62797287;-74.16728867
2025-08-26;18:00:00;KR 28 B 74 02;4.6672833;-74.07001431
2025-08-26;22:30:00;KR 27 37 SUR 02;4.58953313;-74.12087365
2025-08-28;14:30:00;KR 88 D 6 A 02;4.64602119;-74.15800908
2025-08-26;18:50:00;CL 80 98 02;4.70931875;-74.11150347
2025-08-27;22:00:00;KR 50 44 02;4.64234794;-74.09052251
2025-08-27;18:00:00;CL 71 27 B 02;4.66282644;-74.07056053
2025-08-29;12:15:00;KR 13 32 BIS A 02;4.6195171;-74.06855093
2025-08-28;00:18:00;DG 2 80 02;4.63148992;-74.15472752
2025-09-20;19:20:00;KR 70 F 72 A 02;4.6858629;-74.09262902
2025-09-24;01:28:00;CL 40 A SUR 13 B ESTE 02;4.54854335;-74.08421517
2025-09-23;08:20:00;CL 63 72 02;4.6747766;-74.10390372
2025-09-29;09:25:00;CL 23 B 121 A BIS 02;4.69340845;-74.1504038
2025-09-29;22:30:00;CL 24 19 A 02;4.61771301;-74.07789613
2026-01-11;12:00:00;KR 87 57 C 49 SUR;4.62299583;-74.18512877
2026-01-10;12:46:00;KR 70 98 02;4.69266262;-74.07742385
2026-01-14;15:10:00;CL 80 112 02;4.71878457;-74.11921678
2026-01-13;07:30:00;AVENIDA JORGE ELIECER GAITAN 85 B 02;4.67563645;-74.11795346
2026-01-10;23:15:00;KR 3 ESTE 26 02;4.60858243;-74.06600447
2026-01-17;21:00:00;CL 27 SUR 12 B 02;4.57540796;-74.10224861
2025-09-19;14:00:00;KR 33 56 C SUR 02;4.57995583;-74.14270439
2025-09-19;08:10:00;KR 69 L 6 02;4.67702728;-74.0948811
2025-09-23;09:30:00;KR 1 35 02;4.61951568;-74.06080851
2025-09-24;06:50:00;KR 104 137 B 25;4.74070379;-74.09877835
2025-09-24;05:45:00;CL 125 23 02;4.70514887;-74.05294208
2025-10-25;17:56:00;KR 30 71 02;4.66577731;-74.07483427
2025-10-26;22:34:00;KR 103 72 BIS 02;4.70548836;-74.11823241
2025-10-28;18:20:00;CL 26 40 77;4.63422132;-74.08995968
2025-10-29;18:46:00;KR 45 95 02;4.68346693;-74.05778834
2025-10-28;04:30:00;KR 57 70 C 18;4.67001184;-74.07847939
2025-10-30;08:00:00;DG 70 SUR 18 J 02;4.55127143;-74.15014411
